0,1,2
47.31826788218797,21.44838709677426,16.09500350631137
34.868688639551195,16.051612903225845,14.300338108595483
3.385378681626939,4.512903225806449,3.7083725706271276
35.76455119214594,12.163225806451674,11.486095471849339
45.625946704067495,14.13225806451623,7.5682528551392645
30.067812061711113,16.363225806451652,10.001545782408343
50.8514726507716,21.56129032258076,4.370456822280119
59.76784712482474,26.845161290322668,17.889668904027268
57.262166900420844,25.991612903225896,14.686580344620333
39.57679523141659,19.547096774193598,12.978118112602697
